Akurasi Output Tegangan   : 96.12 %
Akurasi Output Sudut Fasa : 48.60 %

MAPE : 0.76
MAE  : 2.02
MSE  : 7.79
RMSE : 2.79

Waktu Training            : 0.000000 s

V Aktual	Sudut Fasa Aktual	V Prediksi	Sudut Fasa Prediksi
========	=================	==========	===================
1.0474		-8.4400   			1.0069		-2.7874
1.0487		-5.7500   			1.0069		-2.7874
1.0302		-8.6000   			0.6941		-4.6014
1.0039		-9.6100   			1.0106		-7.2659
1.0053		-8.6100   			1.0069		-2.7874
1.0077		-7.9500   			1.0069		-2.7874
0.9970		-10.1200   			1.0130		-7.2170
0.9960		-10.6200   			1.0109		-7.2607
1.0282		-10.3200   			1.0069		-2.7874
1.0172		-5.4300   			1.0069		-2.7874
1.0127		-6.2800   			1.0069		-2.7874
1.0002		-6.2400   			1.0002		-6.2400
1.0143		-6.1000   			1.0069		-2.7874
1.0117		-7.6600   			1.0069		-2.7874
1.0154		-7.7400   			1.0105		-7.2674
1.0318		-6.1900   			1.0408		-6.6315
1.0336		-7.3000   			1.0069		-2.7874
1.0309		-8.2200   			1.0311		-6.8341
1.0499		-1.0200   			1.0069		-2.7874
0.9912		-2.0100   			1.0409		-6.6310
1.0318		-3.7800   			1.0109		-7.2599
1.0498		0.6700   			1.0069		-2.7874
1.0448		0.4700   			1.0136		-7.2045
1.0373		-6.0700   			1.2800		-8.7947
1.0576		-4.3600   			1.0304		-6.8514
1.0521		-5.5300   			1.0307		-6.7143
1.0377		-7.5000   			1.0208		-7.0528
1.0501		-2.0100   			1.0373		-6.7011
1.0499		0.7400   			1.0402		-6.6354
1.0475		-3.3300   			1.0033		1.6930
0.9820		0.0000   			1.0033		1.6920
0.9831		2.5700   			1.0030		1.6847
0.9972		4.1900   			0.9732		1.0621
1.0123		3.1700   			1.0027		1.6798
1.0493		5.6300   			1.0031		1.6887
1.0635		8.3200   			0.9740		1.0783
1.0278		2.4200   			1.3486		-1.0446
1.0265		7.8100   			0.9995		0.8756
1.0300		-10.0500   			1.0105		-7.2682
0.9972		4.1900				0.9732		1.0621
1.0123		3.1700				1.0027		1.6798
1.0493		5.6300				1.0031		1.6887
1.0635		8.3200				0.9740		1.0783
1.0278		2.4200				1.3486		-1.0446
1.0265		7.8100				0.9995		0.8756
1.0300		-10.0500			1.0105		-7.2682
